1	17 / 31	0.000887453
2	0 / 27	0.00100436
3	0 / 26	0.00113383
4	0 / 23	0.00127679
5	3 / 24	0.00143419
6	3 / 20	0.00160697
7	3 / 19	0.00179607
8	2 / 12	0.00200241
9	3 / 14	0.00222688
10	4 / 13	0.00247033
11	0 / 10	0.00273355
12	1 / 4	0.00301726
13	5 / 13	0.00332211
14	0 / 5	0.00364862
15	0 / 7	0.00399722
16	9 / 14	0.0043682
17	0 / 9	0.00476168
18	0 / 4	0.00517764
19	0 / 7	0.00561589
20	1 / 4	0.00607602
21	1 / 7	0.00655744
22	0 / 4	0.00705933
23	0 / 5	0.00758066
24	0 / 0	0.00812016
25	0 / 2	0.00867634
26	0 / 1	0.00924747
27	0 / 2	0.00983158
28	0 / 1	0.0104265
29	0 / 0	0.0110298
30	0 / 4	0.0116389
31	0 / 4	0.0122509
32	0 / 1	0.0128629
33	1 / 2	0.0134718
34	0 / 1	0.0140743
35	0 / 2	0.014667
36	0 / 3	0.0152465
37	0 / 0	0.0158093
38	0 / 2	0.016352
39	0 / 0	0.0168711
40	0 / 1	0.0173631
41	1 / 1	0.017825
42	1 / 2	0.0182534
43	0 / 2	0.0186454
44	0 / 2	0.0189983
45	0 / 2	0.0193096
46	1 / 1	0.0195769
47	0 / 0	0.0197984
48	1 / 0	0.0199724
49	0 / 3	0.0200976
50	0 / 2	0.0201731
51	0 / 2	0.0201983
52	0 / 2	0.0201731
53	0 / 3	0.0200976
54	0 / 2	0.0199724
55	1 / 2	0.0197984
56	0 / 0	0.0195769
57	0 / 1	0.0193096
58	0 / 3	0.0189983
59	0 / 2	0.0186454
60	0 / 1	0.0182534
61	0 / 1	0.017825
62	0 / 0	0.0173631
63	0 / 3	0.0168711
64	2 / 6	0.016352
65	1 / 3	0.0158093
66	0 / 2	0.0152465
67	0 / 1	0.014667
68	0 / 1	0.0140743
69	0 / 1	0.0134718
70	0 / 3	0.0128629
71	0 / 3	0.0122509
72	2 / 8	0.0116389
73	0 / 4	0.0110298
74	0 / 1	0.0104265
75	0 / 2	0.00983158
76	0 / 1	0.00924747
77	0 / 3	0.00867634
78	0 / 7	0.00812016
79	0 / 2	0.00758066
80	0 / 3	0.00705933
81	2 / 7	0.00655744
82	0 / 2	0.00607602
83	2 / 9	0.00561589
84	1 / 3	0.00517764
85	0 / 4	0.00476168
86	1 / 6	0.0043682
87	0 / 7	0.00399722
88	1 / 12	0.00364862
89	0 / 6	0.00332211
90	0 / 7	0.00301726
91	0 / 12	0.00273355
92	2 / 12	0.00247033
93	1 / 14	0.00222688
94	2 / 18	0.00200241
95	1 / 15	0.00179607
96	5 / 17	0.00160697
97	4 / 19	0.00143419
98	6 / 16	0.00127679
99	15 / 28	0.00113383
100	4 / 39	0.00100436
